Req. ID;Function/Feature;Description;Pain Point Summary/Basis;Source Interview;MoSCoW;Transferability;Prototype Status
Access Features;;;;;;;
FR-1;Role-Based Access (4 roles);Four distinct login/user types (Student, Company, Professor / Supervisor, Staff). Each must have a tailored dashboard;Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Must;Adaptable;
NFR-1;Identity Verification;Reuse institutional logins for student/staff identity. Verified company email domain as a lightweight company check;Need for trust and verification;C4;Must;Generic;
Company Features;;;;;;;
FR-2;Company Project Submission Portal;Mandatory fields include: Project Title, Required Area of expertise, Project Background and Objective, Project Deliverable, Available Company Resources, Required Student Skills, Required Group Size, Company Contact Person (adapted from the current project proposal sheet);Missing or insufficient listing information, information standardization;S7, S8, S9, P3, P4, P6;Must;Adaptable;
FR-3;Submission Review and Approval;"New project submissions recorded as 'pending'; staff approve before professor and supervisor visibility";Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Should;TUM-specific;
FR-4;Company Browse;"Companies browse student-submitted topics; acceptance requires the company to fill in mandatory fields (company name, company contact information), and the completed entry becomes visible to professors and supervisors";"Absence of a clear overview of available posting/collaboration options; difficulty finding a supervisor";C2 (directly suggested this feature), C5, S12;Must;Generic;
Professor / Supervisor Features;;;;;;;
FR-5;Professor / Supervisor Profiles and Expertise Matching;"Professor / supervisor profiles list chair/expertise (can be sourced from institution login); on login, professors / supervisors see project entries matched to their area of expertise";Contact and coordination burden;P3, P4, U1, U2;Should;Generic;
FR-6;Supervision Take-on;"To accept a project submission, professor / supervisor fills in rest of the required information (chair contact information, application deadline and list required application documents); project becomes visible for students";Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Must;Adaptable;
FR-7;Direct Project Submission (Professor / Supervisor + Company Agreement);When a company and professor agree directly to offer a project study, professors / supervisors can submit it with the mandatory fields filled directly for the students to apply;Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Should;Adaptable;
Student Features;;;;;;;
FR-8;Student Project Submission Portal;Mandatory fields include: Project Title, Required Area of expertise, Project Background and Objective, Project Deliverable, Required Company Resources, Group size, Student Team Contact Person (adapted from the current project proposal sheet);"Absence of a clear overview of available posting/collaboration options; application process friction";C2, C4, C5, S12;Must;Adaptable;
FR-9;Student Profiles;Student profiles list program/degree (can be sourced from institution login);"Enables student team matching; allows students to be filtered by degree by professors / supervisors and companies";Team Decision;Should;Generic;
FR-10;Student Team Matching;Student chooses to set the status on their profile to 'seeking teammates' + field for a small message and contact information, profiles are filterable by this status;Team Formation;S10;Could;Generic;
FR-11;Student Browse Available Projects and Apply;"Students view available projects with full info (company, expertise, application deadline, skills) and contact person; they apply for a given entry by submitting the required documents
";"Discoverability; missing or insufficient listing information";S6, S7, S8, S9;Must;Generic;
FR-12;Application Status Visibility;Simple accepted/rejected status per application;"Application process friction; communication and responsiveness";S1, S8, S12, S13;Should;Generic;
General Features;;;;;;;
NFR-2;"Data Protection for Submitted Documents
";Only the specific professor / supervisor and company reviewing an application can see the application materials submitted;Personal data privacy;Process Documentation;Must;Generic;
NFR-3;Language Support;The platform should be viewable in German and English language.;Many international students;S5, S7, S10;Could;Generic;
FR-13;Status-Change Notifications;Automated notification (e.g. email) when an application's status changes or a listing closes;"Contact and coordination burden; communication and responsiveness";S8, U1, U2;Should;Generic;
FR-14;Lightweight Progress Check-in;Simple, non-rigid check-in mechanism between student and professor / supervisor during the project;Students’ engagement with professor / supervisors during the project;P4;Could;Adaptable;
FR-15;Dual Approval (Professor  / Supervisor + Company);A student application requires both professor / supervisor and company sign-off before being finalized;More say in student selection can increase company satisfaction with project studies;Team decision;Could;Adaptable;
FR-16;Manual Multi-Offer Decision;If accepted to multiple projects, student manually confirms one and manually withdraws the others;Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Should;Generic;
Staff Features;;;;;;;
FR-17;Staff Master Dashboard;View all project studies across every status: pending, approved, not yet supervised, ongoing, filled;Contact and coordination burden;U1, U2;Should;TUM-specific;
FR-18;Filter Incoming Submissions;Staff can filter/search incoming company submissions during review;Adapted from the current process documentation in TUM Campus Heilbronn;Process Documentation;Should;TUM-specific;
